idx,ee_x,ee_y,ee_z
143,0.6,-0.05719424460431649,0.56
144,0.5967605090628617,-0.07122302158273378,0.56
145,0.5898187427689935,-0.08183453237410068,0.56
146,0.5828769764751255,-0.09244604316546759,0.56
147,0.5706131893559584,-0.10215827338129493,0.56
148,0.5583494022367913,-0.11187050359712222,0.56
149,0.5469340532202084,-0.11738609112709827,0.56
150,0.5355187042036255,-0.12290167865707427,0.56
151,0.5241033551870423,-0.12841726618705027,0.56
152,0.5112996529116857,-0.13225419664268576,0.56
153,0.4984959506363288,-0.13609112709832125,0.56
154,0.4856922483609719,-0.13992805755395674,0.56
155,0.46903200925568844,-0.14298561151079128,0.56
156,0.4523717701504052,-0.14604316546762583,0.56
157,0.43848823756266897,-0.14748201438848915,0.56
158,0.42460470497493275,-0.14892086330935242,0.56
159,0.411646741226379,-0.14928057553956828,0.56
160,0.39868877747782483,-0.14964028776978414,0.56
161,0.3857308137292711,-0.15,0.56
162,0.3711531045121481,-0.14928057553956833,0.56
163,0.35657539529502513,-0.14856115107913662,0.56
164,0.3438488237562669,-0.14712230215827335,0.56
165,0.3311222522175087,-0.14568345323740997,0.56
166,0.31492479753181657,-0.14262589928057548,0.56
167,0.29872734284612434,-0.139568345323741,0.56
168,0.2832240647898189,-0.13507194244604312,0.56
169,0.2677207867335134,-0.13057553956834525,0.56
170,0.2540686463555727,-0.12482014388489202,0.56
171,0.2404165059776322,-0.11906474820143878,0.56
172,0.22853837254145792,-0.11079136690647481,0.56
173,0.21666023910528354,-0.10251798561151074,0.56
174,0.20478210566910926,-0.09424460431654672,0.56
175,0.1962205939066719,-0.08057553956834529,0.56
176,0.18765908214423455,-0.06690647482014386,0.56
177,0.1874534001799718,-0.04992006394884088,0.56
178,0.18724771821570907,-0.03293365307753793,0.56
179,0.18704203625144633,-0.01594724220623503,0.56
180,0.18683635428718348,0.0010391686650679521,0.56
181,0.18663067232292074,0.018025579536370934,0.56
182,0.186424990358658,0.035011990407673874,0.56
183,0.18621930839439538,0.05199840127897683,0.56
184,0.18601362643013253,0.06898481215027978,0.56
185,0.1858079444658698,0.08597122302158273,0.56
186,0.1682735570124696,0.08597122302158273,0.56
187,0.15073916955906952,0.08597122302158273,0.56
188,0.13320478210566933,0.08597122302158273,0.56
189,0.11567039465226903,0.08597122302158273,0.56
190,0.09813600719886895,0.08597122302158273,0.56
191,0.08060161974546864,0.08597122302158275,0.56
192,0.06306723229206856,0.08597122302158273,0.56
193,0.045532844838668374,0.08597122302158273,0.56
194,0.027998457385268183,0.08597122302158273,0.56
195,0.027998457385268183,0.06911613566289827,0.56
196,0.027998457385268183,0.05226104830421377,0.56
197,0.027998457385268183,0.035405960945529294,0.56
198,0.027998457385268183,0.018550873586844818,0.56
199,0.027998457385268183,0.0016957862281603286,0.56
200,0.027998457385268183,-0.015159301130524133,0.56
201,0.027998457385268183,-0.03201438848920862,0.56
202,0.027998457385268183,-0.048869475847893085,0.56
203,0.027998457385268183,-0.0657245632065776,0.56
204,0.027998457385268183,-0.08257965056526209,0.56
205,0.027998457385268183,-0.09943473792394655,0.56
206,0.027998457385268183,-0.11628982528263102,0.56
207,0.027998457385268183,-0.13314491264131553,0.56
208,0.027998457385268183,-0.15,0.56
209,0.01203239490937158,-0.15,0.56
210,-0.003933667566525134,-0.15,0.56
211,-0.019899730042421848,-0.15,0.56
212,-0.03586579251831856,-0.15,0.56
213,-0.03586579251831856,-0.13314491264131553,0.56
214,-0.03586579251831845,-0.11628982528263102,0.56
215,-0.03586579251831856,-0.09943473792394655,0.56
216,-0.03586579251831856,-0.08257965056526209,0.56
217,-0.03586579251831856,-0.06572456320657755,0.56
218,-0.03586579251831856,-0.048869475847893085,0.56
219,-0.03586579251831856,-0.03201438848920862,0.56
220,-0.03586579251831856,-0.015159301130524161,0.56
221,-0.03586579251831856,0.0016957862281603564,0.56
222,-0.03586579251831856,0.018550873586844818,0.56
223,-0.03586579251831856,0.03540596094552928,0.56
224,-0.03586579251831856,0.05226104830421377,0.56
225,-0.03586579251831856,0.06911613566289827,0.56
226,-0.03586579251831856,0.08597122302158273,0.56
227,-0.05339375241033539,0.08597122302158273,0.56
228,-0.07092171230235245,0.08597122302158273,0.56
229,-0.08844967219436939,0.08597122302158275,0.56
230,-0.10597763208638633,0.08597122302158273,0.56
231,-0.12350559197840333,0.08597122302158275,0.56
232,-0.14103355187042033,0.08597122302158273,0.56
233,-0.1585615117624372,0.08597122302158273,0.56
234,-0.1760894716544542,0.08597122302158273,0.56
235,-0.17608947165445415,0.06911613566289827,0.56
236,-0.1760894716544542,0.05226104830421377,0.56
237,-0.17608947165445427,0.035405960945529294,0.56
238,-0.1760894716544542,0.018550873586844818,0.56
239,-0.17608947165445427,0.0016957862281603286,0.56
240,-0.1760894716544542,-0.015159301130524133,0.56
241,-0.1760894716544542,-0.03201438848920862,0.56
242,-0.1760894716544542,-0.048869475847893085,0.56
243,-0.1760894716544542,-0.0657245632065776,0.56
244,-0.1760894716544542,-0.08257965056526209,0.56
245,-0.17608947165445427,-0.09943473792394655,0.56
246,-0.1760894716544542,-0.11628982528263102,0.56
247,-0.1760894716544542,-0.13314491264131553,0.56
248,-0.1760894716544542,-0.15,0.56
249,-0.19205553413035087,-0.15,0.56
250,-0.20802159660624747,-0.15,0.56
251,-0.22398765908214413,-0.15,0.56
252,-0.2399537215580408,-0.15,0.56
253,-0.2399537215580408,-0.13489208633093516,0.56
254,-0.2547396837639799,-0.12521582733812944,0.56
255,-0.26952564596991896,-0.11553956834532367,0.56
256,-0.28431160817585804,-0.10586330935251789,0.56
257,-0.2990975703817971,-0.0961870503597122,0.56
258,-0.31388353258773616,-0.0865107913669064,0.56
259,-0.32866949479367524,-0.07683453237410065,0.56
260,-0.34345545699961433,-0.06715827338129496,0.56
261,-0.35824141920555336,-0.057482014388489155,0.56
262,-0.3730273814114924,-0.047805755395683436,0.56
263,-0.38781334361743147,-0.03812949640287766,0.56
264,-0.40259930582337056,-0.028453237410071885,0.56
265,-0.41738526802930964,-0.018776978417266166,0.56
266,-0.4321712302352487,-0.00910071942446039,0.56
267,-0.44695719244118776,0.000575539568345329,0.56
268,-0.46174315464712684,0.010251798561151076,0.56
269,-0.4765291168530659,0.01992805755395685,0.56
270,-0.49131507905900496,0.029604316546762585,0.56
271,-0.506101041264944,0.03928057553956833,0.56
272,-0.5208870034708831,0.04895683453237408,0.56
273,-0.5356729656768222,0.05863309352517984,0.56
274,-0.5357115310451215,0.04124700239808153,0.56
275,-0.5357500964134208,0.02386091127098322,0.56
276,-0.53578866178172,0.006474820143884896,0.56
277,-0.5358272271500193,-0.010911270983213428,0.56
278,-0.5358657925183186,-0.028297362110311752,0.56
279,-0.5359043578866178,-0.04568345323741008,0.56
280,-0.5359429232549171,-0.0630695443645084,0.56
281,-0.5359814886232164,-0.0804556354916067,0.56
282,-0.5360200539915156,-0.09784172661870502,0.56
283,-0.5360586193598149,-0.11522781774580335,0.56
284,-0.5360971847281142,-0.13261390887290167,0.56
285,-0.5361357500964135,-0.15,0.56
286,-0.5521018125723101,-0.15,0.56
287,-0.5680678750482067,-0.15,0.56
288,-0.5840339375241034,-0.15,0.56
289,-0.6,-0.15,0.56
