idx,x,y,z,u,v,label
148,-0.3157749123895437,0.375,0.56,0.3947416958701521,0.0,
149,-0.2980180754204462,0.375,0.56,0.4006606415265179,0.0,
150,-0.280261238451349,0.375,0.56,0.4065795871828837,0.0,
151,-0.2625044014822513,0.375,0.56,0.41249853283924953,0.0,
152,-0.24474756451315405,0.375,0.56,0.41841747849561534,0.0,
153,-0.22699072754405658,0.375,0.56,0.42433642415198114,0.0,
154,-0.20923389057495934,0.375,0.56,0.4302553698083469,0.0,
155,-0.19147705360586187,0.375,0.56,0.43617431546471275,0.0,
156,-0.1737202166367644,0.375,0.56,0.4420932611210785,0.0,
157,-0.15596337966766716,0.375,0.56,0.4480122067774443,0.0,
158,-0.1382065426985697,0.375,0.56,0.4539311524338101,0.0,
159,-0.120449705729472,0.375,0.56,0.45985009809017596,0.0,
160,-0.10269286876037498,0.375,0.56,0.4657690437465417,0.0,
161,-0.08493603179127751,0.375,0.56,0.47168798940290746,0.0,
162,-0.06717919482218004,0.375,0.56,0.4776069350592733,0.0,
163,-0.0494223578530828,0.375,0.56,0.48352588071563907,0.0,
164,-0.03166552088398511,0.375,0.56,0.4894448263720049,0.0,
165,-0.013908683914887865,0.375,0.56,0.49536377202837073,0.0,
166,0.003848153054209602,0.375,0.56,0.5012827176847365,0.0,
167,0.021604990023306847,0.375,0.56,0.5072016633411023,0.0,
168,0.03936182699240409,0.375,0.56,0.513120608997468,0.0,
169,0.057118663961502,0.375,0.56,0.519039554653834,0.0,
170,0.07487550093059925,0.375,0.56,0.5249585003101997,0.0,
171,0.09263233789969649,0.375,0.56,0.5308774459665655,0.0,
172,0.11038917486879418,0.375,0.56,0.5367963916229314,0.0,
173,0.1281460118378912,0.375,0.56,0.5427153372792971,0.0,
174,0.1459028488069889,0.375,0.56,0.548634282935663,0.0,
175,0.16365968577608614,0.375,0.56,0.5545532285920287,0.0,
176,0.18141652274518338,0.375,0.56,0.5604721742483945,0.0,
177,0.19917335971428107,0.375,0.56,0.5663911199047603,0.0,
178,0.2169301966833781,0.375,0.56,0.5723100655611261,0.0,
179,0.23468703365247578,0.375,0.56,0.5782290112174919,0.0,
180,0.25244387062157303,0.375,0.56,0.5841479568738577,0.0,
181,0.2702007075906703,0.375,0.56,0.5900669025302234,0.0,
182,0.28795754455976796,0.375,0.56,0.5959858481865893,0.0,
183,0.30571438152886543,0.375,0.56,0.6019047938429551,0.0,
184,0.3234712184979627,0.375,0.56,0.6078237394993209,0.0,
185,0.3412280554670599,0.375,0.56,0.6137426851556866,0.0,
186,0.35898489243615783,0.375,0.56,0.6196616308120526,0.0,
187,0.37674172940525485,0.375,0.56,0.6255805764684182,0.0,
188,0.3944985663743523,0.375,0.56,0.6314995221247841,0.0,
189,0.41225540334344957,0.375,0.56,0.6374184677811499,0.0,
190,0.4300122403125468,0.375,0.56,0.6433374134375156,0.0,
191,0.4477690772816447,0.375,0.56,0.6492563590938816,0.0,
192,0.46552591425074175,0.375,0.56,0.6551753047502472,0.0,
193,0.48328275121983966,0.375,0.56,0.6610942504066132,0.0,
194,0.5010395881889367,0.375,0.56,0.6670131960629789,0.0,
195,0.5187964251580341,0.375,0.56,0.6729321417193447,0.0,
196,0.5365532621271316,0.375,0.56,0.6788510873757105,0.0,
197,0.5543100990962291,0.375,0.56,0.6847700330320763,0.0,
198,0.5720669360653265,0.375,0.56,0.6906889786884421,0.0,
199,0.5898237730344236,0.375,0.56,0.6966079243448079,0.0,
200,0.607580610003521,0.375,0.56,0.7025268700011736,0.0,
201,0.6253374469726185,0.375,0.56,0.7084458156575395,0.0,
202,0.6253773421812037,0.35710741751426445,0.56,0.7084591140604013,0.023856776647647397,
203,0.6254172373897893,0.3392148350285289,0.56,0.7084724124632631,0.047713553295294794,
204,0.6254571325983749,0.32132225254279334,0.56,0.7084857108661249,0.07157032994294218,
205,0.6254970278069605,0.3034296700570578,0.56,0.7084990092689868,0.09542710659058959,
206,0.6255369230155461,0.28553708757132223,0.56,0.7085123076718487,0.11928388323823699,
207,0.6255768182241317,0.26764450508558674,0.56,0.7085256060747105,0.14314065988588437,
208,0.6256167134327169,0.24975192259985118,0.56,0.7085389044775723,0.16699743653353177,
209,0.625656608641302,0.23185934011411563,0.56,0.7085522028804341,0.19085421318117918,
210,0.6256965038498881,0.21396675762838008,0.56,0.708565501283296,0.21471098982882658,
211,0.6257363990584732,0.19607417514264452,0.56,0.7085787996861577,0.23856776647647399,
212,0.6257762942670584,0.178181592656909,0.56,0.7085920980890195,0.26242454312412133,
213,0.625816189475644,0.16028901017117345,0.56,0.7086053964918814,0.28628131977176874,
214,0.62585608468423,0.1423964276854379,0.56,0.7086186948947433,0.31013809641941614,
215,0.6258959798928148,0.12450384519970237,0.56,0.708631993297605,0.33399487306706355,
216,0.6259358751014004,0.10661126271396681,0.56,0.7086452917004669,0.35785164971471095,
217,0.625975770309986,0.08871868022823126,0.56,0.7086585901033287,0.38170842636235836,
218,0.6260156655185716,0.07082609774249571,0.56,0.7086718885061905,0.4055652030100057,
219,0.6260555607271567,0.052933515256760155,0.56,0.7086851869090522,0.42942197965765316,
220,0.6260954559357419,0.0350409327710246,0.56,0.708698485311914,0.4532787563053005,
221,0.626135351144328,0.01714835028528905,0.56,0.708711783714776,0.47713553295294797,
222,0.6261752463529131,-0.0007442322004465041,0.56,0.7087250821176377,0.5009923096005954,
223,0.6262151415614987,-0.018636814686182,0.56,0.7087383805204995,0.5248490862482427,
224,0.6262550367700843,-0.03652939717191761,0.56,0.7087516789233614,0.5487058628958902,
225,0.6262949319786699,-0.05442197965765311,0.56,0.7087649773262232,0.5725626395435375,
226,0.6263348271872551,-0.07231456214338866,0.56,0.708778275729085,0.5964194161911849,
227,0.6263747223958407,-0.09020714462912421,0.56,0.7087915741319469,0.6202761928388323,
228,0.6264146176044263,-0.10809972711485977,0.56,0.7088048725348087,0.6441329694864797,
